what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1423771042599
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423771042646
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423771052040
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423771064755
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1423771067460
started,bundle,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui,1423771068471
started,bundle,org.maven.ide.eclipse.editor,0.9.6.20080905-0917,org.maven.ide.eclipse.editor,1423771068512
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1423771068574
started,bundle,org.eclipse.wst.ws.service.policy,1.0.2.v200809101532,org.eclipse.wst.ws.service.policy,1423771076208
started,bundle,org.eclipse.wst.command.env,1.0.306.v200807231700,org.eclipse.wst.command.env,1423771076260
started,bundle,org.eclipse.wst.ws,1.1.2.v200809081517,org.eclipse.wst.ws,1423771076260
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423771076437
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423771085437
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.properties,1423771085479
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423771092774
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423771095741
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1423771095781
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1423771095781
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423771107604
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423771131058
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423771138673
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423771148551
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423771197501
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423771221865
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1423771223126
