what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1423801075733
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1423801080466
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423801117101
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423801117240
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1423801252336
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423801260410
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423801269927
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423801328561
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423801354419
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1423801358379
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1423801425736
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423801442148
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423801506846
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423801540978
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423801541081
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423801613744
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423801614053
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1423801650500
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1423801655698
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1423801657049
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1423801662235
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1423801668988
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1423801677596
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1423801679861
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1423801680278
