what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423782070941
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423797329522
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423797331204
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423800016089
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1423800038815
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423800042760
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423800059150
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1423800060294
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1423800060451
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1423800062437
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423800068422
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423800080658
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1423800080829
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1423800080870
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1423800091927
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1423800103824
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1423800148509
started,bundle,org.eclipse.jst.server.ui,1.0.303.v200805140145,org.eclipse.jst.server.ui,1423800148537
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1423800272269
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1423800283071
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1423800289836
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1423800291380
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1423800297778
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1423800303863
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423800447075
