what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug,3.4.0.v20080604,org.eclipse.jdt.debug,1423771223269
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1423771223275
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1423771223300
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1423771223604
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423771227411
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423771240617
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1423771244146
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1423771268806
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1423771275226
started,bundle,org.eclipse.wst.server.core,1.1.1.v20080730,org.eclipse.wst.server.core,1423771278855
started,bundle,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui,1423771278884
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAutomatically,1423771284577
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAutomatically,1423771287004
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423771302480
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423777760458
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1423777769941
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423777776239
started,bundle,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.ui,1423777786916
started,bundle,org.eclipse.pde.core,3.4.0.v20080903-1700,org.eclipse.pde.core,1423777787014
started,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1423777787060
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423777794638
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.rename.element,1423777794679
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1423777825953
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423777833611
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423777870119
